"filename", "language", "JSON", "PowerShell", "YAML", "Markdown", "Batch", "Go", "Go Checksum File", "JSON with Comments", "Go Module File", "TypeScript", "XML", "Shell Script", "vue", "Objective-C", "HTML", "PostCSS", "Java Properties", "Gradle", "Java", "comment", "blank", "total"
"f:\WorkSpace\Go\Test\CryptoWitch\build\linux\Taskfile.yml", "YAML", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 20, 225
"f:\WorkSpace\Go\Test\CryptoWitch\build\linux\appimage\build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 11, 9, 36
"f:\WorkSpace\Go\Test\CryptoWitch\build\linux\nfpm\nfpm.yaml", "YAML", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 8, 81
"f:\WorkSpace\Go\Test\CryptoWitch\build\linux\nfpm\scripts\postinstall.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 4, 22
"f:\WorkSpace\Go\Test\CryptoWitch\build\linux\nfpm\scripts\postremove.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\WorkSpace\Go\Test\CryptoWitch\build\linux\nfpm\scripts\preinstall.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\WorkSpace\Go\Test\CryptoWitch\build\linux\nfpm\scripts\preremove.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\WorkSpace\Go\Test\CryptoWitch\build\windows\Taskfile.yml", "YAML", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 198
"f:\WorkSpace\Go\Test\CryptoWitch\build\windows\info.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"f:\WorkSpace\Go\Test\CryptoWitch\build\windows\msix\app_manifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 56
"f:\WorkSpace\Go\Test\CryptoWitch\build\windows\msix\template.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"f:\WorkSpace\Go\Test\CryptoWitch\cmd\packdocs\main.go", "Go", 0, 0, 0, 0, 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 287
"f:\WorkSpace\Go\Test\CryptoWitch\cmd\packdocs\main_test.go", "Go", 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 128
"f:\WorkSpace\Go\Test\CryptoWitch\config.yaml", "YAML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\README.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\bindings\cryptowitch\internal\vault\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 15
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\bindings\cryptowitch\internal\vault\models.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 154
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\bindings\cryptowitch\internal\vault\service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 46
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\bindings\github.com\wailsapp\wails\v3\internal\eventcreate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 10
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\bindings\github.com\wailsapp\wails\v3\internal\eventdata.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
